Index,NO,NO2,NOx,NH3,CO,SO2,class
8785,8.26,32.52,10.17,23.64,0.17,16.51,1
281,2.22,7.8,5.94,14.92,0.38,12.46,0
3815,21.73,28.39,46.87,34.29,3.15,17.35,1
10095,11.43,38.54,42.25,25.2,0.85,9.92,1
14523,0.88,2.6,1.89,1.42,0.95,9.18,0
7164,100.87,57.64,112.6,48.05,2.47,18.46,4
110,4.99,38.15,24.35,19.33,0.05,11.04,1
12004,11.01,33.9,25.83,37.46,1.16,6.55,1
10023,15.71,21.3,26.28,19.11,1.1,17.89,0
6713,34.82,64.65,34.67,66.8,0.32,19.75,2
1715,6.3,13.12,10.43,8.92,1.56,5.04,0
6428,10.88,37.7,44.63,28.31,2.11,8.34,1
4378,1.47,9.8,6.3,34.46,0.39,8.68,0
4055,17.5,11.75,22.71,95.68,0.62,16.66,3
4033,9.41,9.1,11.34,28.3,1.81,8.39,0
11309,18.47,13.16,28.63,8.49,0.34,1.73,0
3835,21.8,21.02,37.88,37.46,3.02,3.45,1
12660,16.94,12.01,28.84,12.63,0.62,11.23,0
8761,13.78,50.59,14.69,33.24,0.17,29.93,1
5121,8.1,15.41,12.02,28.13,0.75,12.98,0
2865,5.02,29.23,26.24,15.83,0.8,5.09,1
12916,54.75,32.84,86.53,30.9,2.45,8.47,2
13948,1.74,8.64,6.01,5.94,2.59,4.5,0
10348,52.53,45.19,84.93,28.43,1.92,12.89,2
13269,8.01,17.29,24.66,7.71,4.66,66.74,0
3170,6.62,26.26,26.92,12.87,0.99,6.4,0
7827,8.85,25.66,22.97,62.83,1.18,19.73,1
6413,7.96,57.31,61.05,32.67,1.45,19.95,2
3214,6.18,36.76,32.5,13.44,0.99,8.14,1
4355,7.71,18.13,15.51,64.07,0.6,9.69,1
12656,23.87,11.28,34.6,15.21,0.63,11.18,0
4571,4.06,15.4,16.56,57.11,1.89,9.48,1
4738,5.14,7.53,10.95,142.26,1.22,4.82,3
13076,1.16,3.57,1.54,3.66,0.33,6.5,0
13921,1.71,13.26,8.42,5.51,0.96,10.33,0
10581,14.51,26.2,34.22,27.67,0.62,9.15,1
4537,19.46,33.32,31.25,17.07,2.73,21.84,1
8248,16.71,14.97,43.46,13.55,0.25,13.58,1
5202,10.48,20.55,17.04,43.79,0.82,5.1,1
4278,10.35,13.21,15.23,36.41,0.72,6.88,0
3150,9.79,25.5,27.35,12.63,0.97,6.56,0
13580,25.02,8.67,32.21,7.49,1.47,35.23,0
2061,9.28,21.69,16.62,37.12,2.12,4.5,1
12886,15.73,7.89,22.75,6.21,0.64,6.36,0
184,5.01,10.84,9.84,10.27,0.74,7.4,0
4075,17.08,14.92,25.29,74.24,1.13,11.69,1
10089,7.93,36.24,35.13,21.58,0.64,8.4,1
5736,7.52,21.97,26.56,48.86,0.52,8.19,1
14666,7.27,7.82,10.05,4.87,0.85,5.9,0
11397,6.75,11.9,18.63,9.6,0.37,3.35,0
10049,9.04,39.92,40.93,27.62,0.65,8.22,1
12111,9.48,25.51,20.66,28.15,1.03,5.81,1
10682,9.37,36.15,41.64,47.78,1.07,12.92,1
5822,22.11,19.91,40.21,73.98,0.83,8.47,1
13279,40.36,10.52,52.85,44.13,1.39,48.03,2
3186,5.34,23.43,25.93,13.36,0.96,5.8,0
4648,8.16,16.1,17.88,24.53,1.54,14.9,0
10244,8.63,22.94,28.2,11.46,0.71,8.59,0
1895,20.49,49.4,39.15,21.95,2.08,5.34,1
9306,6.3,31.56,20.98,16.06,0.45,6.9,0
10629,6.94,33.6,31.97,30.55,0.91,12.0,1
1852,1.83,23.3,16.35,49.74,2.63,3.37,1
7303,32.02,45.3,53.83,29.05,1.25,15.16,2
4872,5.79,16.06,15.3,106.31,1.02,5.34,3
9892,6.72,21.98,16.13,11.94,0.44,3.83,0
7166,37.49,54.04,59.64,37.9,1.55,19.82,2
1881,13.06,32.95,24.78,52.45,2.03,6.08,1
904,83.19,41.77,124.96,15.91,2.65,15.28,4
2376,6.93,26.89,0.0,23.67,0.34,3.32,0
3092,17.76,27.52,35.63,17.01,0.85,3.74,1
3587,26.01,18.25,44.24,10.35,3.59,13.34,1
9488,7.42,30.7,21.63,15.75,0.58,4.37,0
13320,11.44,15.3,8.91,13.74,1.86,44.62,0
9153,11.25,44.05,32.35,14.75,0.77,10.51,1
13660,42.42,7.86,43.87,8.66,1.33,27.69,0
13073,1.16,3.54,1.51,3.65,0.26,6.26,0
3406,7.14,46.29,30.51,16.09,0.95,11.1,1
5318,11.02,15.16,26.17,52.74,0.99,5.68,1
12038,30.07,50.62,50.0,45.88,2.16,8.04,2
4601,9.12,20.42,20.14,50.93,2.54,8.74,1
744,2.56,19.92,12.69,20.43,0.9,23.63,0
11186,19.29,68.68,87.32,55.99,0.91,12.49,2
9191,3.38,26.65,16.54,12.52,0.78,6.26,0
13954,1.64,10.07,6.71,4.47,0.99,8.52,0
5274,10.68,23.67,18.74,16.31,0.85,7.81,0
1579,10.92,16.71,15.67,18.57,1.71,3.09,0
453,3.49,50.62,29.77,17.97,0.7,6.49,1
14504,0.85,4.47,7.6,3.38,1.09,0.92,0
1221,34.12,32.18,53.48,36.31,0.86,25.47,2
5372,11.09,16.46,26.96,103.08,1.0,8.51,3
11416,16.23,21.42,37.51,9.89,0.66,4.05,0
3476,2.72,23.62,14.86,11.96,0.78,10.45,0
5827,5.38,8.88,14.06,39.97,0.58,7.63,0
2511,14.24,40.38,22.47,26.81,0.58,5.88,1
1171,24.99,22.13,47.12,7.2,0.01,2.07,1
2722,30.12,44.04,60.98,14.22,0.93,6.53,2
7258,158.63,106.04,195.81,62.37,3.66,20.98,4
11644,39.23,71.24,57.02,4.5,0.67,17.23,2
7324,26.56,49.68,50.71,29.54,1.22,20.35,2
1533,18.33,11.21,28.01,12.03,0.85,8.49,0
2224,6.17,24.18,0.0,16.41,0.46,4.19,0
4351,4.61,17.43,12.82,58.92,0.4,7.91,1
1524,17.36,11.56,27.43,12.19,0.76,6.7,0
1185,19.81,25.32,44.54,6.57,0.03,2.85,1
4967,6.7,14.14,12.3,40.7,0.17,10.46,1
2305,11.33,23.73,0.0,26.96,0.21,4.77,0
13783,2.14,8.17,6.06,2.5,1.13,2.91,0
7968,2.23,10.73,15.16,8.69,0.4,15.89,0
5524,5.66,10.23,15.89,1.45,0.9,6.74,0
7277,31.23,39.24,49.45,29.11,0.94,12.66,2
10612,8.54,26.98,28.04,34.53,0.85,9.82,1
2025,5.64,23.05,16.42,17.12,0.67,4.34,0
9434,2.97,29.33,17.72,16.06,0.46,4.8,0
4891,3.63,16.03,12.78,119.3,1.15,4.65,3
1426,11.99,11.94,21.0,5.61,0.62,7.66,0
6709,84.88,81.75,63.72,68.33,0.52,20.05,2
5592,8.43,17.96,26.1,37.01,0.85,3.36,1
14683,5.58,7.52,11.12,4.2,0.5,5.29,0
2442,8.48,27.75,0.0,24.43,2.01,5.79,0
16,2.94,0.11,3.59,28.26,0.4,7.34,0
9082,22.03,72.8,56.56,24.6,0.99,13.6,2
7898,41.09,30.42,100.02,22.77,1.29,23.2,2
13774,1.32,5.45,0.31,13.07,1.68,2.1,0
9250,5.11,20.4,14.67,13.38,0.26,6.55,0
11574,8.16,23.32,29.75,23.42,0.55,9.19,1
2858,23.3,46.39,53.87,16.7,1.0,6.12,2
14503,0.85,4.47,2.49,3.24,0.95,1.04,0
2314,11.76,40.07,0.0,20.79,0.56,9.41,0
9647,4.2,19.36,12.3,12.11,0.38,7.65,0
431,13.43,77.45,52.11,19.49,1.16,20.19,2
5059,7.85,16.08,13.71,140.2,0.0,14.31,3
10224,15.81,23.04,33.68,11.73,0.75,9.08,0
10693,20.96,53.14,66.75,57.77,1.18,11.55,2
1401,9.5,9.99,19.49,13.0,0.48,10.74,0
13140,0.87,2.74,1.21,2.79,0.47,7.73,0
2887,10.0,39.23,36.32,15.4,0.93,7.29,1
1610,6.52,26.9,18.07,20.09,1.14,4.0,0
11505,84.79,41.06,125.79,33.6,1.79,12.03,4
5941,69.2,60.29,104.31,79.83,16.23,8.65,4
4956,8.96,16.27,18.97,75.89,1.16,6.76,1
4426,42.76,41.8,9.43,3.82,2.35,9.72,0
12058,23.29,56.12,47.87,33.82,1.97,7.25,2
9359,4.84,44.85,27.54,9.52,0.58,18.58,1
8797,7.13,51.82,10.74,30.94,0.06,19.33,1
1026,12.63,8.24,20.87,5.11,0.97,7.2,0
6328,38.38,30.44,48.08,28.85,1.69,9.58,2
985,12.31,5.87,18.4,10.24,0.52,3.65,0
1981,11.08,39.12,26.5,36.52,1.19,2.85,1
1032,0.76,8.4,8.35,1.58,1.24,6.23,0
3042,6.49,21.27,22.89,11.62,0.63,5.11,0
311,5.81,11.69,11.08,9.62,1.2,9.05,0
2578,5.92,38.68,23.41,36.27,1.21,4.22,1
10748,9.46,40.38,41.75,29.45,1.17,10.9,1
6883,34.44,60.21,3.98,48.38,1.4,18.98,1
9416,11.3,49.16,34.49,17.3,0.76,9.93,1
12970,67.76,60.4,94.16,35.25,1.25,9.4,2
12442,8.21,33.24,24.25,12.86,1.06,11.49,1
6210,19.84,60.05,69.37,48.04,1.72,21.27,2
8309,1.06,9.0,5.17,3.96,0.4,14.19,0
4324,9.91,15.27,15.03,37.51,0.67,7.94,1
9180,1.84,33.42,21.61,12.94,0.78,8.26,0
3281,2.9,11.41,13.28,8.44,0.67,6.36,0
3773,23.93,26.53,45.54,62.13,2.7,14.5,1
3624,2.89,15.91,18.81,4.07,2.92,12.74,0
8989,11.54,39.1,25.12,11.21,0.58,15.11,1
13758,16.14,4.18,26.32,2.45,2.1,46.64,0
13823,1.79,12.26,7.9,4.46,1.28,3.12,0
13265,10.25,10.7,9.8,12.03,1.62,34.72,0
11884,14.51,28.15,25.59,41.02,1.03,10.09,1
10109,9.04,25.09,30.24,18.38,0.73,7.2,1
12770,35.31,37.77,72.19,20.09,1.18,13.41,2
1938,15.81,55.88,40.35,30.23,1.85,6.34,1
8172,37.5,9.08,71.29,16.26,1.21,12.19,2
14021,3.06,5.15,5.14,2.1,0.8,5.64,0
8251,64.74,30.85,139.31,16.28,0.92,13.62,4
12897,13.63,7.66,20.73,6.12,0.35,13.98,0
7743,84.83,0.68,84.43,74.95,1.23,3.61,2
12639,27.53,12.45,39.97,10.91,0.57,8.64,0
4068,14.81,13.04,19.47,51.85,0.97,12.01,1
8683,9.69,52.0,10.85,24.87,0.33,20.73,1
12747,22.47,44.13,65.12,18.8,1.05,17.05,2
2681,18.31,18.76,29.17,22.74,0.8,7.25,1
3063,6.7,22.04,23.16,13.83,0.95,4.32,0
2670,18.5,17.55,29.4,22.57,0.77,5.95,1
14324,0.78,3.83,2.65,2.6,0.85,1.15,0
1514,17.38,10.28,27.28,11.98,0.62,16.11,0
626,2.64,22.88,14.4,1.91,0.33,17.88,0
10043,15.35,39.9,42.66,26.69,0.89,11.47,1
1060,12.69,6.65,19.32,5.31,0.37,1.92,0
4064,12.57,10.03,18.76,29.51,0.89,12.73,0
5829,5.5,11.08,16.35,39.86,0.77,16.07,1
3854,13.09,15.26,22.74,34.96,2.82,6.91,1
1403,9.51,10.02,19.54,13.0,0.63,14.87,0
8435,5.2,10.0,13.76,10.42,0.92,13.55,0
7362,38.81,59.78,54.6,30.39,1.26,18.19,2
8286,3.73,15.72,10.44,10.25,0.46,16.08,0
9108,4.59,45.37,27.82,20.49,0.89,8.88,1
13175,0.87,2.79,1.24,2.85,0.48,9.64,0
4619,24.62,29.71,36.6,42.88,4.08,16.06,1
10022,14.14,21.31,24.59,18.89,0.91,20.56,0
2413,13.86,29.55,0.0,32.39,0.63,5.33,1
865,29.93,40.11,70.05,60.89,1.08,9.66,2
14645,12.81,24.17,33.09,13.9,2.17,3.82,1
9806,13.41,40.69,30.19,44.44,0.4,5.26,1
4045,17.72,13.3,24.41,53.26,2.38,9.44,1
8952,8.34,18.5,10.13,8.29,0.0,4.87,0
5271,9.17,21.79,16.69,18.38,0.74,5.96,0
10659,37.42,56.9,77.62,46.42,1.17,11.88,2
7353,9.48,39.89,30.31,40.86,1.31,17.67,1
5754,11.43,19.49,30.77,104.56,0.64,7.5,3
1106,12.2,14.12,26.33,10.97,0.0,6.29,0
6574,69.58,96.23,60.3,41.1,0.73,21.65,2
594,1.81,26.79,9.83,12.18,0.53,26.62,0
7386,37.41,61.45,66.06,29.84,1.3,20.59,2
7715,8.89,19.64,19.57,29.75,0.82,15.36,1
12158,5.23,38.8,27.92,12.61,1.0,9.74,1
7246,31.32,48.95,54.76,49.69,1.31,14.67,2
12422,45.23,59.47,67.92,30.11,1.02,16.09,2
4227,21.97,7.38,21.56,7.01,0.91,9.69,0
14464,1.21,3.52,2.07,1.2,0.81,0.61,0
599,3.61,24.16,15.86,4.78,0.37,14.02,0
13922,1.69,13.21,8.38,6.03,0.96,8.62,0
12669,24.34,13.82,38.08,11.37,0.54,12.0,0
9196,2.92,31.53,18.61,18.36,0.64,6.76,0
11643,29.6,72.26,65.79,2.8,0.73,11.86,2
2331,7.17,34.13,0.0,28.14,0.44,2.39,0
6793,21.91,31.1,12.39,44.32,0.33,7.65,1
1076,11.92,9.68,16.05,5.98,0.0,5.79,0
8673,11.1,67.78,13.76,26.75,0.33,37.44,1
2351,12.03,43.35,0.0,22.96,0.47,5.54,1
1146,33.43,38.02,69.43,9.8,0.01,3.8,2
12410,14.21,42.33,32.58,24.44,0.79,8.64,1
2651,12.55,19.33,24.09,20.75,0.83,6.28,0
12277,8.07,22.05,18.16,12.2,1.11,5.81,0
1796,3.72,15.89,10.97,37.51,1.76,2.12,0
2287,7.38,32.39,0.0,24.05,0.39,7.69,0
7936,3.35,12.7,19.12,11.27,0.54,20.37,0
14350,2.11,3.87,2.66,2.6,1.02,3.25,0
6597,30.67,58.86,29.83,34.4,0.84,20.83,1
11807,28.96,42.21,52.1,30.1,0.43,13.36,2
10568,9.42,25.4,27.75,27.69,0.76,9.06,1
11964,7.44,28.0,23.79,28.83,0.82,5.03,1
689,3.59,11.1,8.92,7.35,0.72,9.54,0
8662,11.21,58.18,11.72,26.45,0.45,46.34,1
294,4.79,15.65,12.3,19.74,0.38,11.1,0
9349,9.71,45.19,30.38,11.95,0.59,11.42,1
9609,3.03,17.52,11.18,14.75,0.46,9.68,0
2191,11.92,34.52,0.0,34.63,0.99,2.97,1
11421,15.77,29.86,45.64,9.41,0.74,6.85,1
14595,9.38,26.54,21.71,12.97,0.91,8.56,0
14401,1.09,3.63,11.09,5.24,0.63,1.64,0
14502,0.66,2.97,6.73,1.78,0.75,1.55,0
7961,2.31,11.17,15.77,8.53,0.47,17.77,0
12767,32.6,49.03,79.62,18.38,1.14,10.1,2
14525,0.97,3.85,2.52,1.77,1.09,10.17,0
13551,27.4,6.35,33.75,7.69,1.63,25.7,0
5267,9.3,22.68,17.22,15.25,0.8,5.68,0
11076,54.56,60.43,114.91,11.35,1.08,4.48,2
4087,17.83,22.37,27.57,55.66,0.6,11.58,1
8782,13.35,52.07,16.81,33.95,0.23,30.86,1
5591,8.28,19.12,27.38,20.68,0.82,7.28,0
11299,6.69,24.24,26.81,4.38,0.54,3.09,0
8832,8.94,25.83,9.14,9.9,0.06,1.66,0
13343,26.72,3.96,25.24,21.2,2.62,70.78,0
10909,76.41,2.13,62.54,2.82,0.95,16.6,2
2910,12.61,32.17,31.8,17.34,1.09,4.1,1
4979,26.58,26.9,27.96,101.96,0.96,25.11,3
13092,0.53,1.62,0.54,1.64,0.17,3.58,0
6593,110.07,96.68,69.09,56.8,1.86,23.11,4
11804,10.28,31.96,28.35,30.18,0.34,10.38,1
9124,3.95,45.49,27.17,20.87,0.89,11.32,1
13623,22.48,8.45,30.93,7.38,1.03,36.23,0
11828,15.85,39.18,37.42,30.21,0.36,10.77,1
7886,38.49,18.77,83.29,18.52,1.06,22.36,2
2592,5.9,42.78,25.09,75.97,1.44,4.38,1
13878,1.84,14.03,8.88,9.28,1.56,5.14,0
186,4.18,8.86,8.18,10.54,0.81,6.71,0
12055,81.1,74.59,104.37,47.66,2.18,8.52,4
317,4.73,13.33,11.02,19.26,0.87,9.24,0
6046,24.46,65.25,91.72,54.47,4.98,6.31,2
12351,7.97,18.64,16.24,2.02,0.91,4.19,0
8029,2.35,7.42,11.8,7.81,0.38,10.86,0
1437,9.93,10.0,19.75,5.04,0.59,8.42,0
2249,7.04,34.1,0.0,23.82,0.53,5.25,0
7645,83.94,60.12,107.57,39.73,1.89,14.37,4
11856,5.37,45.31,26.18,36.24,0.47,10.36,1
5889,6.22,5.65,11.52,30.45,0.7,4.57,0
7855,6.89,19.88,13.53,37.1,0.81,13.28,1
2718,12.11,26.49,34.31,15.77,0.79,6.84,1
7177,99.9,68.02,122.87,55.85,2.91,18.11,4
13696,25.41,34.66,48.64,24.18,2.19,2.91,1
1555,11.91,19.88,20.72,4.32,17.4,13.61,0
13617,26.09,7.61,32.81,7.57,1.31,51.39,0
11532,53.87,55.94,106.07,25.27,0.81,13.1,2
7025,8.65,30.14,33.87,48.38,0.81,8.24,1
4211,10.14,4.64,10.57,5.99,0.61,12.42,0
2075,6.0,13.18,13.25,32.42,0.42,1.77,0
12395,33.33,60.77,59.48,29.8,1.18,10.19,2
8722,8.71,35.98,7.61,15.93,0.0,5.02,0
10111,10.71,25.6,31.37,11.54,0.67,8.65,0
10033,34.5,44.05,78.06,19.8,1.65,14.71,2
2855,17.28,40.77,44.74,14.54,0.96,5.45,1
3345,16.07,51.48,40.44,18.67,1.38,15.28,1
3,7.14,1.07,10.48,28.95,0.57,4.53,0
7244,28.3,51.94,54.18,55.71,1.49,13.65,2
12754,22.79,42.12,63.02,19.52,0.96,10.58,2
9490,2.47,28.41,16.94,14.34,0.59,7.76,0
12974,23.99,40.42,53.75,25.8,0.69,9.77,2
5915,11.99,17.35,29.46,39.98,8.74,6.77,1
2432,9.68,29.8,0.0,26.99,1.07,4.72,0
12530,7.12,8.3,9.05,37.42,1.01,6.54,0
11316,12.15,25.12,36.89,8.65,0.74,3.3,0
11185,68.47,115.61,170.14,56.64,1.15,17.81,4
12216,6.11,19.31,13.07,14.83,1.27,6.31,0
9383,3.28,40.48,24.04,11.3,0.7,5.66,1
1038,33.85,13.99,43.79,9.52,2.82,7.38,1
5980,23.55,33.86,43.2,37.35,14.42,16.92,1
1002,14.66,6.89,27.71,8.26,1.31,3.42,0
632,0.74,3.7,2.34,2.84,0.4,15.89,0
7585,13.29,41.21,32.94,50.03,1.14,7.9,1
2921,6.84,30.05,27.53,18.56,0.95,4.5,1
12590,27.65,13.16,40.77,12.07,0.47,11.63,0
12392,19.35,57.36,46.3,11.19,0.93,9.32,1
2013,3.37,9.89,7.11,24.31,0.78,2.36,0
11682,11.99,63.91,43.54,59.47,1.22,9.02,1
3227,5.79,27.79,30.87,12.22,1.01,6.22,0
1447,9.78,9.74,19.48,12.02,0.47,6.87,0
10534,6.84,20.77,24.02,17.77,0.8,9.48,0
4518,10.66,25.18,18.57,10.47,0.92,6.3,0
5048,18.2,28.09,27.14,192.98,0.09,11.39,3
9139,4.05,36.55,22.52,14.68,0.67,4.72,1
12824,37.35,45.62,82.97,19.77,0.88,9.59,2
8517,4.81,20.25,17.83,21.25,0.97,5.27,0
10795,4.35,28.08,25.96,29.6,0.52,16.32,1
2002,7.65,52.29,24.61,28.88,1.18,3.67,1
1332,15.01,11.66,25.01,9.59,0.09,15.59,0
8707,9.54,32.92,8.41,14.62,0.0,4.04,0
8947,11.42,19.98,16.16,7.18,0.0,5.99,0
6981,16.91,40.44,46.57,33.33,1.04,13.29,1
14492,0.67,4.29,2.44,1.81,0.97,0.51,0
1350,12.51,10.3,22.68,8.98,0.21,4.8,0
7718,11.0,25.62,24.87,32.62,0.99,18.62,1
1953,9.51,23.5,19.24,27.19,1.51,3.45,1
8577,9.73,35.0,7.61,38.51,0.27,2.6,1
9470,4.5,30.47,18.95,12.6,0.44,3.78,0
4568,6.18,15.13,17.09,54.34,1.87,7.89,1
12207,7.88,27.59,20.19,6.88,1.1,6.78,0
1430,9.53,9.83,18.23,5.18,0.64,7.05,0
6534,81.06,76.99,126.03,42.99,1.54,14.9,4
5540,5.65,13.77,19.28,3.69,1.01,5.05,0
3190,8.76,30.76,30.61,14.45,1.1,7.64,1
2744,11.8,24.36,28.45,16.22,1.1,6.46,0
7055,10.82,28.46,26.45,44.47,0.78,8.53,1
3988,8.98,10.32,1.73,36.08,0.27,5.64,0
3631,3.62,11.86,15.49,15.1,2.38,12.77,0
6106,40.08,37.96,165.43,24.2,0.82,10.27,4
7007,13.4,40.3,41.85,46.61,2.05,11.3,1
14099,3.02,2.92,3.98,2.13,2.11,5.38,0
3621,4.28,13.75,18.03,4.71,2.99,12.47,0
5743,6.03,12.03,18.0,195.53,0.54,5.45,3
4313,15.87,17.71,21.46,70.87,0.64,7.53,1
6198,67.14,68.4,115.98,42.75,2.05,31.66,4
13364,77.56,16.32,66.47,23.62,2.36,19.32,2
13702,0.78,18.97,16.05,2.72,1.99,32.83,0
7793,6.97,1.3,6.79,3.44,1.29,3.48,0
8581,10.85,38.08,19.18,16.51,0.11,2.83,1
3595,4.69,14.32,19.0,8.81,3.23,13.55,0
7011,27.74,53.88,63.16,54.12,1.07,13.97,2
2064,3.39,16.91,9.84,32.35,1.61,1.9,0
3671,5.52,7.81,13.31,6.94,2.07,12.26,0
650,1.77,4.43,3.76,2.43,0.39,13.83,0
2488,15.29,38.34,0.0,22.64,0.57,6.16,0
11049,78.93,51.44,127.37,14.98,2.75,5.52,4
6341,12.75,42.51,48.36,37.72,1.1,23.86,1
9691,3.46,25.34,14.02,11.62,0.66,3.53,0
1581,86.9,10.45,49.95,16.4,2.26,3.03,2
12076,31.19,56.29,54.66,53.29,1.25,8.32,2
10619,6.99,18.45,20.19,25.72,0.73,9.78,0
12252,6.11,23.5,18.21,30.01,1.26,5.82,1
3781,14.69,23.73,34.61,42.75,3.02,15.05,1
10641,5.94,33.99,33.19,49.37,0.88,13.6,1
6393,11.17,67.73,74.26,43.64,1.86,27.98,2
2898,7.85,32.46,30.73,16.86,0.95,4.83,1
4455,11.76,14.43,11.95,116.59,5.18,8.35,3
8473,5.84,9.41,13.91,10.39,0.92,5.34,0
1960,11.92,38.67,25.42,28.79,0.94,4.85,1
1027,12.62,8.36,20.99,5.07,0.98,6.52,0
14524,0.93,2.92,2.11,1.6,0.92,9.53,0
9420,3.95,47.6,27.71,20.95,0.74,6.42,1
2204,12.77,26.72,0.0,27.97,0.87,4.93,0
14528,0.96,3.47,2.26,2.61,1.08,8.21,0
419,6.68,79.86,47.92,15.05,0.97,18.13,2
3511,22.39,28.58,50.97,8.84,4.7,11.73,1
4276,2.7,11.25,8.04,36.8,0.62,6.88,0
4184,7.93,3.08,11.04,1.34,0.75,8.51,0
12720,25.17,23.86,48.84,17.7,0.72,15.36,1
964,57.49,70.81,141.86,14.1,0.66,2.66,4
8185,71.29,12.73,130.71,15.45,1.93,12.18,4
12948,70.73,60.09,126.92,23.44,1.47,8.57,4
14075,2.89,8.14,6.69,1.84,1.04,6.02,0
977,15.39,9.04,34.52,10.71,0.76,2.93,0
4882,6.11,18.69,13.71,99.46,1.23,4.43,3
9255,5.11,25.61,17.39,25.84,0.32,6.79,1
370,4.1,37.63,23.5,13.51,1.66,13.7,1
7523,35.55,48.54,53.06,33.54,1.44,11.26,2
9685,6.61,24.9,16.06,10.17,0.59,3.9,0
12641,21.54,9.91,31.39,8.81,0.52,9.55,0
3569,7.48,19.97,27.45,10.02,3.92,15.79,0
7942,10.92,17.36,36.49,14.18,0.58,16.95,0
1182,25.4,27.86,46.04,8.11,0.0,1.83,1
12801,39.85,44.52,84.15,22.07,1.24,11.77,2
6540,90.53,87.15,111.96,29.54,1.31,20.72,4
6457,20.2,37.42,58.72,37.84,1.14,8.63,2
13230,23.46,32.28,55.72,8.2,1.23,39.42,2
8611,13.08,79.11,24.12,53.38,0.39,29.12,1
5646,6.12,19.81,25.87,20.03,0.59,5.48,0
6281,18.81,64.55,84.23,56.64,2.6,14.74,2
9652,7.38,15.96,11.37,17.6,0.38,6.72,0
9857,8.0,14.21,12.92,11.63,0.46,5.41,0
5367,10.36,19.12,26.84,102.19,1.23,11.44,3
13729,7.17,5.44,12.55,1.31,0.08,10.53,0
9244,4.55,21.97,15.57,9.65,0.26,7.32,0
1070,12.46,12.01,21.0,7.26,0.0,5.23,0
7300,20.21,40.61,41.09,30.98,1.16,13.48,1
5651,7.56,14.12,21.68,19.94,0.78,5.87,0
3112,26.51,38.83,53.01,20.6,1.36,5.74,2
10221,13.38,20.67,30.28,11.54,0.6,8.77,0
7418,16.84,34.56,35.19,23.72,0.93,11.99,1
7072,12.45,29.45,28.39,46.23,0.82,11.04,1
14155,3.08,8.79,6.83,2.43,1.25,5.1,0
9841,11.0,25.4,21.69,17.74,0.46,4.76,0
2769,10.19,29.98,32.37,21.36,0.89,5.6,1
206,3.12,6.96,6.33,5.76,0.8,7.09,0
502,2.37,16.7,10.86,12.82,0.69,15.37,0
4852,6.25,17.24,13.8,142.42,0.62,3.2,3
8202,88.08,15.26,160.98,18.04,1.68,13.2,4
6147,20.95,54.45,67.44,46.05,1.22,10.51,2
12492,9.48,31.79,24.24,1.28,0.84,10.2,0
9989,32.78,70.61,45.46,34.61,0.0,12.22,2
6338,34.57,50.45,67.93,27.0,1.29,22.15,2
7430,15.0,29.87,29.36,32.06,0.97,9.64,1
4627,7.62,15.08,19.0,43.36,1.35,12.69,1
2086,5.39,10.49,8.64,15.8,2.63,3.62,0
13584,16.56,10.94,27.49,7.0,1.81,37.47,0
8802,6.44,26.4,8.54,26.54,0.09,11.13,0
555,2.16,15.11,9.79,4.67,0.42,13.67,0
7933,18.52,13.0,44.3,14.55,0.78,16.8,1
6125,42.48,35.87,84.88,21.67,1.12,12.09,2
11834,60.82,75.06,80.39,30.07,0.6,14.96,2
14635,8.26,22.12,26.02,8.9,0.75,5.49,0
11280,3.69,16.78,20.42,7.0,0.49,2.61,0
3890,17.58,22.48,13.74,34.93,1.19,6.58,1
5465,5.61,10.6,16.21,67.5,0.98,9.65,1
6408,53.59,74.99,108.21,44.94,1.7,21.41,4
1536,20.86,18.96,28.66,15.16,0.73,6.55,0
13641,40.78,2.61,41.14,8.44,0.54,34.56,0
14471,0.58,3.78,2.4,1.33,0.92,0.96,0
987,15.54,9.32,34.92,10.55,0.47,3.58,0
11486,18.08,42.15,60.14,20.85,0.81,14.42,2
5058,8.91,15.6,13.8,110.73,0.0,17.55,3
12281,7.87,25.97,20.11,10.56,0.88,5.03,0
6418,20.53,34.52,56.84,34.24,3.24,10.14,2
1975,13.13,43.2,34.09,31.23,1.51,3.14,1
6160,53.19,45.09,89.84,22.95,1.5,11.8,2
5282,9.68,17.73,27.41,69.49,0.8,15.14,1
625,0.93,18.2,10.43,1.28,0.39,23.12,0
543,2.19,20.61,12.25,4.81,0.65,22.54,0
7167,49.17,55.77,71.3,38.07,1.52,20.59,2
12083,41.93,60.69,65.59,65.01,0.95,14.27,2
3717,8.11,19.25,27.35,5.17,0.0,13.61,0
12778,16.87,37.46,54.33,15.52,0.82,10.47,1
12663,13.36,11.97,24.75,10.07,0.62,11.08,0
11922,9.46,27.46,22.11,29.52,1.13,5.85,1
1564,10.85,28.4,21.85,41.39,0.61,7.16,1
13473,13.99,16.1,21.2,6.38,1.43,25.91,0
5637,7.36,12.65,19.71,28.04,0.55,5.96,0
13151,0.78,2.6,1.19,2.67,0.34,7.61,0
5211,9.17,20.74,16.14,20.33,0.82,5.8,0
12031,24.17,54.59,47.4,42.51,2.0,16.73,2
5215,14.28,32.22,25.56,30.88,0.85,5.75,1
5551,8.96,24.05,30.37,35.98,0.85,7.1,1
2269,6.83,45.34,0.0,20.2,9.04,7.24,1
